iter	RMSE
0	11662.39562
1	11320.66257
2	10988.26829
3	10677.13229
4	10384.08073
5	10094.59281
6	9807.282987
7	9528.959989
8	9264.667329
9	9005.619764
10	8788.941326
11	8571.709417
12	8345.614166
13	8130.201521
14	7933.6701
15	7739.654918
16	7574.694407
17	7402.267671
18	7245.258771
19	7090.570766
20	6949.271282
21	6800.178789
22	6656.751341
23	6521.527314
24	6396.938312
25	6279.908502
26	6175.513906
27	6077.399533
28	5990.31399
29	5896.091343
30	5821.581426
31	5743.949983
32	5668.275544
33	5605.348341
34	5542.191471
35	5477.321725
36	5419.672384
37	5363.288676
38	5310.36105
39	5256.114006
40	5206.116469
41	5152.168788
42	5109.376186
43	5059.483225
44	5017.84793
45	4978.430446
46	4936.993142
47	4900.898693
48	4865.359138
49	4836.849194
50	4804.702215
51	4775.487502
52	4746.600614
53	4724.811616
54	4699.591733
55	4680.903082
56	4658.84761
57	4636.782745
58	4616.810002
59	4603.831627
60	4584.284691
61	4568.248375
62	4553.969702
63	4537.390733
64	4522.348635
65	4508.864285
66	4497.381336
67	4486.140922
68	4474.024235
69	4468.83213
70	4457.224208
71	4448.715318
72	4435.5315
73	4425.930322
74	4421.034255
75	4410.495548
76	4403.009514
77	4394.85747
78	4388.760121
79	4380.381136
80	4370.373099
81	4368.078649
82	4361.698032
83	4359.709804
84	4354.317909
85	4347.223553
86	4338.598273
87	4335.754114
88	4327.219467
89	4319.843413
90	4312.348684
91	4307.000852
92	4299.468916
93	4291.089464
94	4287.05217
95	4282.964917
96	4277.010831
97	4272.081663
98	4267.562726
99	4261.903373
100	4256.192684
101	4252.023563
102	4248.869662
103	4243.473437
104	4238.258383
105	4235.406286
106	4230.690395
107	4226.167844
108	4221.04396
109	4218.220565
110	4214.925303
111	4211.041168
112	4208.905289
113	4205.478162
114	4202.258248
115	4201.084671
116	4197.851861
117	4190.811874
118	4185.118192
119	4181.726554
120	4178.973885
121	4176.825661
122	4174.319241
123	4168.68741
124	4166.506335
125	4162.700351
126	4160.343902
127	4155.468236
128	4154.797055
129	4151.438879
130	4146.730368
131	4145.957192
132	4143.835034
133	4141.105809
134	4135.048925
135	4133.219644
136	4129.527997
137	4127.372653
138	4123.921743
139	4120.395337
140	4117.149969
141	4111.04947
142	4107.509818
143	4106.252147
144	4103.144993
145	4101.84588
146	4099.791075
147	4095.652504
148	4092.156056
149	4090.67234
150	4085.243688
151	4080.2507
152	4077.793255
153	4075.692321
154	4073.902565
155	4069.537455
156	4064.812901
157	4059.365876
158	4056.375686
159	4055.089773
160	4053.511506
161	4050.860785
162	4048.805722
163	4044.633346
164	4041.153631
165	4039.738017
166	4037.112214
167	4035.325701
168	4030.5675
169	4026.287568
170	4024.367498
171	4022.295976
172	4018.007815
173	4011.745961
174	4008.89326
175	4005.970706
176	4002.902606
177	4000.115622
178	3995.750709
179	3991.406208
180	3990.661194
181	3987.980042
182	3984.019609
183	3981.65482
184	3979.273418
185	3978.591343
186	3973.642208
187	3970.576324
188	3966.688213
189	3960.737914
190	3959.56423
191	3958.17032
192	3956.414674
193	3952.56892
194	3949.309524
195	3947.872315
196	3944.123127
197	3941.661665
198	3939.941596
199	3939.566456
200	3937.613405
201	3936.790101
202	3935.830684
203	3935.09153
204	3933.47353
205	3928.423158
206	3925.563263
